@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1}

@data
385,112,3866.5,cluster1
386,131,4297.1,cluster1
387,97,2508.4,cluster1
388,89,772.404762,cluster1
389,133,3921,cluster1
390,130,9425.85,cluster1
391,123,3684.4,cluster1
392,131,3426.714286,cluster1
393,115,2899,cluster1
394,115,3659,cluster1
395,135,3470.090909,cluster1
396,116,4522.2,cluster1
397,129,4537,cluster1
398,209,97333.086957,cluster0
399,135,3913.25,cluster1
400,116,4522.2,cluster1
401,94,1175.891304,cluster1
402,212,92612.166667,cluster0
403,115,3569,cluster1
404,133,3245.333333,cluster1
405,131,4297.1,cluster1
406,121,2968.25,cluster1
407,109,3374.285714,cluster1
408,146,3628,cluster1
409,113,4887.8,cluster1
410,119,4186.8,cluster1
411,118,3503.5,cluster1
412,94,1228.613636,cluster1
413,92,974.704545,cluster1
414,121,3842.875,cluster1
415,126,3866.428571,cluster1
416,122,3252.909091,cluster1
417,93,1184.744681,cluster1
418,123,3805.1,cluster1
419,142,3905.666667,cluster1
420,146,3471.571429,cluster1
421,138,3659.333333,cluster1
422,126,3458.2,cluster1
423,122,3399.75,cluster1
424,126,3458.2,cluster1
425,89,754.465116,cluster1
426,142,3359.5,cluster1
427,108,2794.5,cluster1
428,135,3913.25,cluster1
429,130,3680.666667,cluster1
430,124,3537.307692,cluster1
431,116,4522.2,cluster1
432,124,4338,cluster1
433,122,3621.625,cluster1
434,132,32221.987805,cluster1
435,126,3458.2,cluster1
436,116,3461.583333,cluster1
437,146,3471.571429,cluster1
438,120,3063.833333,cluster1
439,131,33271.759494,cluster1
440,117,2814.3,cluster1
441,125,3767.142857,cluster1
442,139,3581.5,cluster1
443,115,3569,cluster1
444,146,3471.571429,cluster1
445,126,3424.7,cluster1
446,126,3458.2,cluster1
447,126,3458.2,cluster1
448,135,3913.25,cluster1
449,130,3639,cluster1
450,114,4169.272727,cluster1
451,133,3606.181818,cluster1
452,135,3913.25,cluster1
453,103,3440.5,cluster1
454,112,3866.5,cluster1
455,94,1201.666667,cluster1
456,142,3905.666667,cluster1
457,119,4186.8,cluster1
458,132,3490.818182,cluster1
459,129,4537,cluster1
460,135,3913.25,cluster1
461,116,4522.2,cluster1
462,130,3240.571429,cluster1
463,104,4541.166667,cluster1
464,213,101083.818182,cluster0
465,124,4338,cluster1
466,122,3252.909091,cluster1
467,120,3063.833333,cluster1
468,142,3905.666667,cluster1
469,126,3458.2,cluster1
470,146,3471.571429,cluster1
471,93,1114.2,cluster1
472,135,3913.25,cluster1
473,203,90057.68,cluster0
474,125,3767.142857,cluster1
475,146,3628,cluster1
476,117,3624.071429,cluster1
477,119,3453.333333,cluster1
478,136,3645.1,cluster1
479,135,3913.25,cluster1
480,142,3157.75,cluster1
481,138,3659.333333,cluster1
482,135,3913.25,cluster1
483,95,1353.729167,cluster1
484,126,3458.2,cluster1
485,94,1228.613636,cluster1
486,136,3645.1,cluster1
487,126,3458.2,cluster1
488,129,3416.666667,cluster1
489,130,3680.666667,cluster1
490,135,3913.25,cluster1
491,131,4297.1,cluster1
492,89,749.340909,cluster1
493,93,1233.891304,cluster1
494,112,3866.5,cluster1
495,90,758.634146,cluster1
496,125,3158.181818,cluster1
497,88,805.976744,cluster1
498,107,4144.888889,cluster1
499,124,4281.142857,cluster1
500,146,3628,cluster1
501,122,3621.625,cluster1
502,127,3964.857143,cluster1
503,113,4291,cluster1
504,93,1200.06383,cluster1
505,130,3639,cluster1
506,127,3541.25,cluster1
507,135,3913.25,cluster1
508,130,3680.666667,cluster1
509,116,4265.125,cluster1
510,89,772.404762,cluster1
511,132,39815.758065,cluster1
512,136,3074,cluster1
513,126,3458.2,cluster1
514,126,3458.2,cluster1
515,116,4522.2,cluster1
516,130,3680.666667,cluster1
517,124,4338,cluster1
518,126,3458.2,cluster1
519,128,3339.5,cluster1
520,125,3767.142857,cluster1
521,104,4541.166667,cluster1
522,135,3913.25,cluster1
523,126,3458.2,cluster1
524,126,3458.2,cluster1
525,122,2988.583333,cluster1
526,126,3458.2,cluster1
527,126,3458.2,cluster1
528,126,3458.2,cluster1
529,108,3797.461538,cluster1
530,116,3461.583333,cluster1
531,95,1424.978723,cluster1
532,135,3913.25,cluster1
533,160,2514,cluster1
534,93,1184.744681,cluster1
535,126,3458.2,cluster1
536,130,3680.666667,cluster1
537,127,3964.857143,cluster1
538,116,4522.2,cluster1
539,160,2514,cluster1
540,90,777.6,cluster1
541,94,1360.612245,cluster1
542,135,3913.25,cluster1
543,137,3763.5,cluster1
544,130,3639,cluster1
545,92,1240,cluster1
546,138,3659.333333,cluster1
547,142,3157.75,cluster1
548,116,4111.909091,cluster1
549,138,3659.333333,cluster1
550,120,3063.833333,cluster1
551,109,3374.285714,cluster1
552,135,3913.25,cluster1
553,93,1184.744681,cluster1
554,126,3458.2,cluster1
555,112,3866.5,cluster1
556,139,3382.375,cluster1
557,93,1233.891304,cluster1
558,127,3964.857143,cluster1
559,108,4123.833333,cluster1
560,121,3436.375,cluster1
561,111,3135.857143,cluster1
562,128,2620.666667,cluster1
563,122,3621.625,cluster1
564,120,3654.454545,cluster1
565,135,3913.25,cluster1
566,113,3720.083333,cluster1
567,115,3569,cluster1
568,148,3822.4,cluster1
569,130,3240.571429,cluster1
570,122,3252.909091,cluster1
571,121,4013.2,cluster1
572,121,3436.375,cluster1
573,146,3471.571429,cluster1
574,128,4229.615385,cluster1
575,120,3063.833333,cluster1
576,126,3458.2,cluster1
577,93,1210.304348,cluster1
578,126,3458.2,cluster1
579,146,3471.571429,cluster1
580,94,1228.613636,cluster1
581,122,3621.625,cluster1
582,129,4537,cluster1
583,121,3611.846154,cluster1
584,146,3628,cluster1
585,94,1191.93617,cluster1
586,116,3461.583333,cluster1
587,135,3913.25,cluster1
588,115,3569,cluster1
589,135,3913.25,cluster1
590,129,4537,cluster1
591,201,86930.5,cluster0
592,135,3913.25,cluster1
593,139,3382.375,cluster1
594,94,1383.306122,cluster1
595,126,3458.2,cluster1
596,114,4169.272727,cluster1
597,130,3210.4,cluster1
598,110,3960.583333,cluster1
599,136,3645.1,cluster1
600,132,4095.5,cluster1
601,127,4049.090909,cluster1
602,95,1382,cluster1
603,135,3913.25,cluster1
604,94,1191.93617,cluster1
605,131,4297.1,cluster1
606,124,4281.142857,cluster1
607,130,3680.666667,cluster1
608,89,772.404762,cluster1
609,111,3135.857143,cluster1
610,126,3638,cluster1
611,126,3458.2,cluster1
612,127,3964.857143,cluster1
613,95,1424.978723,cluster1
614,124,2906,cluster1
615,131,4297.1,cluster1
616,116,3770,cluster1
617,126,3754.666667,cluster1
618,123,4075.285714,cluster1
619,122,3252.909091,cluster1
620,135,3913.25,cluster1
621,135,3913.25,cluster1
622,117,3152.444444,cluster1
623,126,3458.2,cluster1
624,203,98658.190476,cluster0
625,126,3458.2,cluster1
626,130,3680.666667,cluster1
627,187,82493.857143,cluster0
628,131,4297.1,cluster1
629,93,1160.541667,cluster1
630,87,835.795455,cluster1
631,146,3628,cluster1
632,142,3905.666667,cluster1
633,93,1160.25,cluster1
634,131,3186,cluster1
635,127,4049.090909,cluster1
636,126,9356.4,cluster1
637,130,3240.571429,cluster1
638,92,1262.361702,cluster1
639,135,3913.25,cluster1
640,123,3450.230769,cluster1
641,95,1424.978723,cluster1
642,131,3186,cluster1
643,127,3964.857143,cluster1
644,135,3913.25,cluster1
645,116,4522.2,cluster1
646,135,3913.25,cluster1
647,117,2811.4,cluster1
648,90,777.6,cluster1
649,92,1240,cluster1
650,125,3767.142857,cluster1
651,135,3913.25,cluster1
652,142,3905.666667,cluster1
653,125,3938.416667,cluster1
654,112,3866.5,cluster1
655,135,3913.25,cluster1
656,131,3186,cluster1
657,130,3680.666667,cluster1
658,144,18291.153846,cluster1
659,126,3458.2,cluster1
660,120,3549.727273,cluster1
661,126,3458.2,cluster1
662,132,3527.888889,cluster1
663,89,772.404762,cluster1
664,126,4130.444444,cluster1
665,130,3680.666667,cluster1
666,135,3913.25,cluster1
667,141,3785.555556,cluster1
668,108,2794.5,cluster1
669,116,4522.2,cluster1
670,224,109438.1,cluster0
