@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
612,135,3913.25,cluster1
613,120,3878.5,cluster2
614,94,1127.25,cluster3
615,130,3680.666667,cluster1
616,93,1200.06383,cluster3
617,190,85465.777778,cluster0
618,126,3458.2,cluster2
619,94,1201.666667,cluster3
620,158,3712.666667,cluster1
621,137,3763.5,cluster1
622,135,3913.25,cluster1
623,126,4014.285714,cluster1
624,133,3312.142857,cluster1
625,126,3458.2,cluster2
626,126,3458.2,cluster2
627,172,8711,cluster1
628,127,3964.857143,cluster1
629,111,3849.833333,cluster2
630,137,3465,cluster1
631,247,124897.058824,cluster0
632,132,3454.909091,cluster1
633,166,4900.357143,cluster1
634,110,3342.285714,cluster2
635,131,4297.1,cluster1
636,106,3743.8,cluster2
637,124,4338,cluster2
638,131,3426.714286,cluster1
639,135,3913.25,cluster1
640,213,101083.818182,cluster0
641,117,3152.444444,cluster2
642,141,37781.694444,cluster1
643,201,86934.346154,cluster0
644,112,3866.5,cluster2
645,135,3913.25,cluster1
646,110,3342.285714,cluster2
647,107,4144.888889,cluster2
648,130,3960.727273,cluster1
649,142,3359.5,cluster1
650,112,3866.5,cluster2
651,115,3569,cluster2
652,112,3866.5,cluster2
653,116,4522.2,cluster2
654,138,3659.333333,cluster1
655,126,3424.7,cluster2
656,130,3210.4,cluster1
657,95,1353.208333,cluster3
658,130,3680.666667,cluster1
659,122,3386.75,cluster2
660,94,1191.93617,cluster3
661,130,3639,cluster1
