"No.","data_variance","data_average","class"
557,68.0,12.0,label
558,68.0,12.0,label
559,68.0,12.0,label
560,68.0,12.0,label
561,68.0,12.0,label
562,68.0,12.0,label
563,68.0,12.0,label
564,68.0,12.0,label
565,68.0,12.0,label
566,68.0,12.0,label
567,68.0,12.0,label
568,68.0,12.0,label
569,68.0,12.0,label
570,68.0,12.0,label
571,68.0,12.0,label
572,68.0,12.0,label
573,68.0,12.0,label
574,300.5833333333333,165923.74305555556,label
575,242.5,134623.625,label
576,266.7857142857143,149088.3112244898,label
577,72.5,342.25,label
578,266.7857142857143,149088.3112244898,label
579,72.5,342.25,label
580,266.7857142857143,149088.3112244898,label
581,72.5,342.25,label
582,266.7857142857143,149088.3112244898,label
583,72.5,342.25,label
584,266.7857142857143,149088.3112244898,label
585,72.5,342.25,label
586,266.7857142857143,149088.3112244898,label
587,72.5,342.25,label
588,266.7857142857143,149088.3112244898,label
589,72.5,342.25,label
590,266.7857142857143,149088.3112244898,label
591,72.5,342.25,label
592,266.7857142857143,149088.3112244898,label
593,266.7857142857143,149088.3112244898,label
594,242.5,134623.625,label
595,242.5,134623.625,label
596,266.7857142857143,149088.3112244898,label
597,72.5,342.25,label
598,266.7857142857143,149088.3112244898,label
599,212.73684210526315,118091.7728531856,label
600,72.5,342.25,label
601,266.7857142857143,149088.3112244898,label
602,242.5,134623.625,label
603,266.7857142857143,149088.3112244898,label
604,242.5,134623.625,label
605,242.5,134623.625,label
606,266.7857142857143,149088.3112244898,label
607,242.5,134623.625,label
608,242.5,134623.625,label
609,252.6,141966.37333333335,label
610,72.5,342.25,label
611,266.7857142857143,149088.3112244898,label
612,72.5,342.25,label
613,266.7857142857143,149088.3112244898,label
614,72.5,342.25,label
615,219.5,123783.36111111111,label
616,242.5,134623.625,label
617,72.5,342.25,label
618,266.7857142857143,149088.3112244898,label
619,72.5,342.25,label
620,266.7857142857143,149088.3112244898,label
621,72.5,342.25,label
622,266.7857142857143,149088.3112244898,label
623,251.26666666666668,142467.52888888892,label
624,266.7857142857143,149088.3112244898,label
625,266.7857142857143,149088.3112244898,label
626,266.7857142857143,149088.3112244898,label
627,266.7857142857143,149088.3112244898,label
628,266.7857142857143,149088.3112244898,label
629,242.5,134623.625,label
630,266.7857142857143,149088.3112244898,label
631,266.7857142857143,149088.3112244898,label
632,266.7857142857143,149088.3112244898,label
633,266.7857142857143,149088.3112244898,label
634,266.7857142857143,149088.3112244898,label
635,266.7857142857143,149088.3112244898,label
636,266.7857142857143,149088.3112244898,label
637,266.7857142857143,149088.3112244898,label
638,219.5,123783.36111111111,label
639,266.7857142857143,149088.3112244898,label
640,266.7857142857143,149088.3112244898,label
641,266.7857142857143,149088.3112244898,label
642,266.7857142857143,149088.3112244898,label
643,266.7857142857143,149088.3112244898,label
644,72.5,342.25,label
645,266.7857142857143,149088.3112244898,label
646,240.1875,135404.52734375,label
647,266.7857142857143,149088.3112244898,label
648,242.5,134623.625,label
649,242.5,134623.625,label
650,266.7857142857143,149088.3112244898,label
651,266.7857142857143,149088.3112244898,label
652,266.7857142857143,149088.3112244898,label
653,266.7857142857143,149088.3112244898,label
654,266.7857142857143,149088.3112244898,label
655,266.7857142857143,149088.3112244898,label
656,266.7857142857143,149088.3112244898,label
657,266.7857142857143,149088.3112244898,label
658,266.7857142857143,149088.3112244898,label
659,266.7857142857143,149088.3112244898,label
660,240.1875,135404.52734375,label
661,266.7857142857143,149088.3112244898,label
662,266.7857142857143,149088.3112244898,label
663,72.5,342.25,label
664,266.7857142857143,149088.3112244898,label
665,300.5833333333333,165923.74305555556,label
666,219.5,123783.36111111111,label
667,72.5,342.25,label
668,266.7857142857143,149088.3112244898,label
669,266.7857142857143,149088.3112244898,label
