"No.","average","variance","class"
449,113,3833.0,label
450,148,3822.4,label
451,116,3770.0,label
452,135,3913.25,label
453,123,4075.285714285714,label
454,214,106097.14285714286,label
455,112,3866.5,label
456,89,772.4047619047619,label
457,112,3866.5,label
458,100,3443.875,label
459,148,3822.4,label
460,120,3063.8333333333335,label
461,120,3063.8333333333335,label
462,129,4537.0,label
463,109,3374.285714285714,label
464,112,3866.5,label
465,109,3374.285714285714,label
466,89,772.4047619047619,label
467,114,3371.0,label
468,126,3458.2,label
469,138,3480.0,label
470,135,3913.25,label
471,111,3135.8571428571427,label
472,135,3913.25,label
473,95,1395.8125,label
474,126,3458.2,label
475,115,2738.285714285714,label
476,125,3767.1428571428573,label
477,126,3458.2,label
478,135,3913.25,label
479,126,3458.2,label
480,208,101756.59090909091,label
481,120,3063.8333333333335,label
482,92,1012.0454545454545,label
483,137,3465.0,label
484,113,3720.0833333333335,label
485,125,3158.181818181818,label
486,123,3805.1,label
487,146,3471.5714285714284,label
488,91,1021.7333333333333,label
489,127,4049.090909090909,label
490,112,3866.5,label
491,109,4571.363636363636,label
492,111,4421.285714285715,label
493,93,1184.7446808510638,label
494,120,4272.916666666667,label
495,138,3659.3333333333335,label
496,110,2691.25,label
497,137,3719.0,label
498,208,89465.12,label
499,92,964.7727272727273,label
500,132,4423.333333333333,label
501,118,3123.3333333333335,label
502,116,4522.2,label
503,109,3374.285714285714,label
504,148,3822.4,label
505,116,4522.2,label
506,135,3913.25,label
507,146,3628.0,label
508,89,772.4047619047619,label
509,112,3866.5,label
510,130,3680.6666666666665,label
511,131,3336.3333333333335,label
512,126,3458.2,label
513,126,3638.0,label
514,94,1150.8936170212767,label
515,125,3492.1,label
516,131,33191.70886075949,label
517,108,2794.5,label
518,160,2514.0,label
519,115,3569.0,label
520,222,109757.85,label
521,135,3913.25,label
522,139,3581.5,label
523,135,3913.25,label
524,108,5524.375,label
525,118,2620.714285714286,label
526,123,3224.3636363636365,label
527,135,3913.25,label
528,127,3952.3333333333335,label
529,94,1201.6666666666667,label
530,130,3680.6666666666665,label
531,117,3152.4444444444443,label
532,137,3763.5,label
533,135,3913.25,label
534,141,3785.5555555555557,label
535,90,758.6341463414634,label
536,114,3060.1428571428573,label
537,111,3135.8571428571427,label
538,116,2704.0,label
539,135,3913.25,label
540,228,108934.45,label
541,126,3458.2,label
542,146,3628.0,label
543,135,3913.25,label
544,135,3913.25,label
545,90,758.6341463414634,label
546,115,3569.0,label
547,126,3458.2,label
548,126,3458.2,label
549,138,3659.3333333333335,label
550,135,3913.25,label
551,126,3458.2,label
552,146,3628.0,label
553,135,3913.25,label
554,135,3913.25,label
555,89,754.4651162790698,label
556,130,3210.4,label
557,115,3569.0,label
558,138,3659.3333333333335,label
559,120,3063.8333333333335,label
560,146,3628.0,label
561,135,3913.25,label
562,126,3458.2,label
563,135,3913.25,label
564,135,3913.25,label
565,89,772.4047619047619,label
566,126,3458.2,label
567,127,3964.8571428571427,label
568,135,3913.25,label
569,126,3458.2,label
570,199,90525.04,label
571,135,3913.25,label
572,135,3913.25,label
573,135,3913.25,label
574,94,1228.6136363636363,label
575,125,3491.75,label
576,130,3680.6666666666665,label
577,123,4075.285714285714,label
578,118,3730.0,label
579,121,4013.2,label
580,92,1262.3617021276596,label
581,127,3964.8571428571427,label
582,136,3645.1,label
583,126,3458.2,label
584,130,3680.6666666666665,label
585,142,3905.6666666666665,label
586,89,772.4047619047619,label
587,130,3210.4,label
588,129,4537.0,label
589,112,3866.5,label
590,116,4522.2,label
591,235,103638.38095238095,label
592,119,3324.0,label
593,124,4338.0,label
594,92,1289.7173913043478,label
595,114,3982.285714285714,label
596,109,3362.5,label
597,110,4009.75,label
598,114,3744.6,label
599,135,3913.25,label
600,90,758.6341463414634,label
601,120,3061.5555555555557,label
602,135,3913.25,label
603,116,4522.2,label
604,126,3458.2,label
605,135,3913.25,label
606,138,3659.3333333333335,label
607,94,2746.0,label
608,138,3659.3333333333335,label
609,93,1233.891304347826,label
610,118,3730.0,label
611,100,3334.5,label
612,214,96283.91304347826,label
613,108,2987.8333333333335,label
614,119,3688.0,label
615,124,4338.0,label
616,93,1199.8958333333333,label
617,135,3913.25,label
618,137,3763.5,label
619,134,3152.777777777778,label
620,117,3152.4444444444443,label
621,135,3913.25,label
622,90,777.6,label
623,115,3569.0,label
624,135,3913.25,label
625,126,3458.2,label
626,148,3822.4,label
627,121,3017.0,label
628,160,2514.0,label
629,107,2574.5,label
630,138,3659.3333333333335,label
631,95,1300.58,label
632,131,32931.8,label
633,130,9626.594594594595,label
634,198,84071.77777777778,label
635,132,3490.818181818182,label
636,126,3458.2,label
637,121,3898.0,label
638,90,777.6,label
639,127,3964.8571428571427,label
640,135,3913.25,label
641,135,3913.25,label
642,146,3628.0,label
643,126,3458.2,label
644,135,3913.25,label
645,122,3252.909090909091,label
646,94,1183.391304347826,label
647,119,3613.214285714286,label
648,124,3820.25,label
649,118,3730.0,label
650,133,4223.875,label
651,111,3135.8571428571427,label
652,90,777.6,label
653,127,3964.8571428571427,label
654,135,3913.25,label
655,213,101083.81818181818,label
656,135,3913.25,label
657,135,3913.25,label
658,126,3458.2,label
659,130,3680.6666666666665,label
660,93,1216.1489361702127,label
661,128,4229.615384615385,label
662,116,4522.2,label
663,108,4219.833333333333,label
664,128,4172.272727272727,label
665,106,2992.375,label
666,89,772.4047619047619,label
667,137,3465.0,label
668,135,3913.25,label
669,126,3458.2,label
670,126,3458.2,label
671,135,3913.25,label
672,111,3135.8571428571427,label
673,121,3842.875,label
674,119,3688.0,label
675,92,999.3555555555556,label
676,115,4064.875,label
677,135,3913.25,label
678,215,92223.04166666667,label
